tanggal,kopi_aren,kopi_ungu,kopi_coklat,kopi_creamy,awan_bengi,ice_tea,milk_tea,melon_tea,yakult_leci,lemon_tea,leci_tea,hot_tea,lotus_latte
01/10/2024,4,3,8,7,9,5,4,3,5,6,7,8,5
02/10/2024,2,3,8,7,4,3,2,1,3,3,1,3,2
03/10/2024,6,7,4,8,4,4,4,3,7,8,2,3,2
04/10/2024,3,4,2,7,2,4,8,7,9,5,4,3,3
05/10/2024,7,6,8,4,3,7,8,9,4,4,7,8,9
06/10/2024,3,2,4,2,4,5,6,7,4,2,8,6,4
07/10/2024,6,7,2,5,7,8,9,6,7,4,8,3,2
08/10/2024,5,6,4,4,3,2,1,1,5,1,3,3,7
09/10/2024,5,4,3,2,3,4,2,4,6,2,3,3,4
10/10/2024,7,8,9,4,3,3,2,5,6,3,4,2,4
11/10/2024,5,4,3,2,3,2,2,2,1,1,5,3,2
12/10/2024,4,5,2,3,2,4,2,3,4,6,2,2,3
13/10/2024,3,3,2,2,1,1,2,3,4,2,3,4,1
14/10/2024,3,2,2,1,1,3,3,1,5,2,3,2,1
15/10/2024,1,3,2,4,5,5,2,4,1,3,1,2,1
16/10/2024,1,3,1,3,3,2,1,3,1,3,12,2,3
17/10/2024,3,3,2,2,1,4,3,2,1,1,1,4,2
18/10/2024,2,4,3,2,4,5,1,4,3,1,1,1,1
19/10/2024,1,1,1,1,4,0,0,10,1,3,1,0,0
20/10/2024,1,1,4,2,4,5,0,1,0,1,4,2,1
21/10/2024,0,1,3,1,4,0,3,3,0,3,2,2,1
22/10/2024,2,4,1,0,4,1,1,1,4,5,9,0,4
23/10/2024,3,3,2,2,1,3,4,4,5,3,0,5,2
24/10/2024,2,4,2,2,1,2,4,3,3,5,2,2,2
25/10/2024,2,4,4,6,3,2,4,7,3,1,5,3,2
26/10/2024,1,3,5,1,6,3,4,0,3,2,2,0,4
27/10/2024,1,2,5,4,7,3,4,4,4,2,5,2,6
28/10/2024,4,3,2,5,2,6,3,6,3,6,5,3,9
29/10/2024,2,2,5,2,6,4,2,6,3,6,8,4,0
30/10/2024,2,0,2,5,3,1,5,3,0,8,7,4,8
31/10/2024,0,3,0,5,1,0,5,3,6,3,6,3,2
